timestamp,status,Windspeed,Wind absolute direction,Wind relative direction,Ambient temperature,Grid power,Rotor rpm,Generator rpm in latest period,Pitch angle,Nacelle direction,Temperature oil in gearbox,Temperature in gearbox bearing on high speed shaft,Temperature in generator bearing 2 (Drive End),Temperature in generator bearing 1 (Non-Drive End),Nacelle temperature,Temperature oil in hydraulic group
2022-04-27 03:00:00,0,1.0,75.0,89.9,18.0,-0.0037560975609756,0.0,0.0,24.0,345.1,34.0,33.0,27.0,27.0,26.0,50.0
2022-04-27 03:10:00,0,1.5,154.6,169.5,18.0,-0.0037560975609756,0.0,0.0,24.0,345.1,33.0,32.0,27.0,27.0,26.0,50.0
2022-04-27 03:20:00,0,1.3,248.8,-96.3,18.0,-0.0037073170731707,0.0,0.0,24.0,345.1,33.0,32.0,27.0,27.0,26.0,50.0
2022-04-27 03:30:00,0,1.6,234.7,-110.4,18.0,-0.0037560975609756,0.0,0.0,24.0,345.1,33.0,32.0,26.0,26.0,26.0,50.0
2022-04-27 03:40:00,0,2.0,334.6,-10.5,18.0,-0.0037560975609756,0.0,0.0,24.0,345.1,33.0,32.0,26.0,26.0,26.0,50.0
2022-04-27 03:50:00,0,2.3,233.0,-112.1,18.0,-0.0037560975609756,0.0,1.4,24.0,345.1,32.0,32.0,26.0,26.0,26.0,50.0
2022-04-27 04:00:00,0,2.7,270.8,-74.2,18.0,-0.0041951219512195,0.3,67.1,24.0,345.0,33.0,31.0,26.0,26.0,26.0,50.0
2022-04-27 04:10:00,0,2.5,299.1,22.3,18.0,-0.0039024390243902,1.5,179.0,24.0,276.7,36.0,32.0,26.0,26.0,26.0,50.0
2022-04-27 04:20:00,0,2.3,291.4,14.7,18.0,-0.0039024390243902,0.1,156.5,24.0,276.7,36.0,33.0,26.0,26.0,26.0,50.0
2022-04-27 04:30:00,0,2.0,245.5,-31.2,17.0,-0.0038048780487804,0.0,118.7,24.0,276.7,36.0,33.0,26.0,26.0,26.0,50.0
2022-04-27 04:40:00,0,2.0,230.1,-46.7,17.0,-0.0037560975609756,0.0,108.9,24.0,276.7,36.0,33.0,26.0,26.0,25.0,50.0
2022-04-27 04:50:00,0,2.8,232.9,-43.8,17.0,-0.0041463414634146,0.4,142.2,24.0,276.7,36.0,33.0,26.0,26.0,25.0,50.0
2022-04-27 05:00:00,0,2.8,265.8,40.3,17.0,-0.004,2.0,226.4,24.0,225.5,36.0,34.0,26.0,26.0,25.0,50.0
2022-04-27 05:10:00,0,2.2,180.3,-41.0,16.0,-0.003560975609756,1.4,182.0,24.0,221.3,36.0,34.0,26.0,26.0,25.0,50.0
2022-04-27 05:20:00,0,3.1,230.2,8.8,16.0,-0.0032682926829268,2.3,259.0,24.0,221.4,36.0,35.0,26.0,26.0,25.0,50.0
2022-04-27 05:30:00,0,3.2,267.0,37.2,16.0,-0.0032195121951219,2.3,255.5,24.0,229.8,36.0,35.0,26.0,26.0,25.0,50.0
2022-04-27 05:40:00,0,3.9,230.4,-8.5,16.0,0.0102439024390243,9.0,1018.7,5.0,238.9,36.0,37.0,26.0,30.0,26.0,50.0
2022-04-27 05:50:00,0,3.4,226.6,-5.6,16.0,0.0001951219512195,9.2,1037.9,6.7,232.2,38.0,42.0,28.0,44.0,26.0,49.0
2022-04-27 06:00:00,0,3.1,235.8,-7.3,16.0,-0.0032195121951219,2.4,267.3,24.0,243.1,37.0,41.0,29.0,43.0,26.0,49.0
2022-04-27 06:10:00,0,2.7,262.5,15.9,16.0,-0.0031219512195121,2.0,229.2,24.0,246.6,37.0,39.0,29.0,39.0,26.0,49.0
2022-04-27 06:20:00,0,3.1,239.5,-7.1,16.0,-0.0033170731707317,2.2,253.0,24.0,246.5,36.0,38.0,29.0,36.0,26.0,49.0
2022-04-27 06:30:00,0,2.1,242.6,30.0,16.0,-0.0031219512195121,0.2,133.0,24.0,212.6,36.0,37.0,29.0,35.0,26.0,50.0
2022-04-27 06:40:00,0,2.4,181.3,-31.3,16.0,-0.003170731707317,0.7000000000000001,158.2,24.0,212.6,36.0,37.0,29.0,33.0,26.0,50.0
2022-04-27 06:50:00,0,2.8,188.0,-24.6,16.0,-0.0034146341463414,1.9,212.8,24.0,212.6,36.0,36.0,29.0,32.0,26.0,50.0
2022-04-27 07:00:00,0,2.7,186.0,-18.5,15.0,-0.003170731707317,1.8,207.5,24.0,204.5,36.0,36.0,29.0,31.0,26.0,50.0
2022-04-27 07:10:00,0,2.0,182.6,-14.5,15.0,-0.0031219512195121,0.3,145.9,24.0,197.2,36.0,36.0,29.0,31.0,26.0,50.0
2022-04-27 07:20:00,0,1.5,236.1,38.9,15.0,-0.0030731707317073,0.0,83.9,24.0,197.2,35.0,35.0,28.0,30.0,26.0,50.0
2022-04-27 07:30:00,0,2.3,253.0,55.8,15.0,-0.0030731707317073,0.6000000000000001,153.4,24.0,197.2,35.0,35.0,28.0,29.0,26.0,50.0
2022-04-27 07:40:00,0,2.3,243.1,45.9,15.0,-0.0031219512195121,1.7000000000000002,195.7,24.0,197.2,35.0,35.0,28.0,29.0,26.0,50.0
2022-04-27 07:50:00,0,2.1,242.2,45.0,16.0,-0.0031219512195121,0.8,170.2,24.0,197.2,35.0,35.0,28.0,28.0,26.0,51.0
2022-04-27 08:00:00,0,1.8,217.5,20.3,15.0,-0.003170731707317,0.0,147.8,24.0,197.2,35.0,35.0,28.0,28.0,26.0,51.0
2022-04-27 08:10:00,0,2.0,223.6,26.4,16.0,-0.0031219512195121,0.9,168.6,24.0,197.2,35.0,35.0,28.0,28.0,26.0,51.0
2022-04-27 08:20:00,0,1.9,208.3,11.1,16.0,-0.0032195121951219,0.3,158.1,24.0,197.2,35.0,34.0,28.0,27.0,26.0,51.0
